,name,shape_area,parksbnd_a,pma,shape_len,geometry
0,12TH AVE SQUARE PARK,0,7316.172948,4467,0,"MULTIPOLYGON (((-122.3162480182179 47.6071438821052, -122.3163777352491 47.60714442063554, -122.3165074547887 47.60714495358771, -122.3166180233597 47.60714540679729, -122.3166180042753 47.60720633903911, -122.3166179364893 47.60736468555843, -122.3165058390122 47.60736423248121, -122.3163761178526 47.60736370853724, -122.3162463980767 47.60736318622661, -122.3162480182179 47.6071438821052)))"
1,6TH AVENUE NW POCKET PARK,0,9006.612569,3158,0,"MULTIPOLYGON (((-122.3634527097912 47.68436691648906, -122.3634522451656 47.6840845415001, -122.3635536895656 47.68408431455438, -122.3636551219002 47.68408408498158, -122.3637565529815 47.68408385803414, -122.363807300509 47.68408374499658, -122.3638076336939 47.68436620543942, -122.3637568860113 47.68436623211268, -122.3636555023995 47.68436646111435, -122.3635541133804 47.6843666873996, -122.3634527097912 47.68436691648906)))"
2,A. B. ERNST PARK,0,11546.519529,4404,0,"MULTIPOLYGON (((-122.348654185465 47.65023051082457, -122.3487603495184 47.64990861181926, -122.34899789716 47.64994431707163, -122.3491166711031 47.64996216951199, -122.3491404692194 47.6499657462456, -122.3490342197048 47.6502876971501, -122.349010391908 47.65028411179136, -122.3488916554931 47.65026624613706, -122.3487729217429 47.65024837762575, -122.348654185465 47.65023051082457)))"
3,ALBERT DAVIS PARK,0,58459.982889,244,0,"MULTIPOLYGON (((-122.2984079350166 47.72061429124424, -122.2978374325814 47.72061065093401, -122.2978365060968 47.72052377713775, -122.2978349381728 47.72036013554483, -122.2978330171385 47.72020198242389, -122.2978413473396 47.72020205985439, -122.2983554515365 47.7202052282304, -122.2983635956139 47.72020527652818, -122.2983635382325 47.72020021883547, -122.2983620222823 47.72004159630529, -122.2983618470505 47.72002366780327, -122.298361610098 47.71999854332382, -122.2985241119523 47.71999783988181, -122.2985229577579 47.71987888939406, -122.298666562883 47.71987971677489, -122.2986649899519 47.71971598975698, -122.2989708072902 47.7197178006303, -122.2989722264506 47.71987604569293, -122.2989738003552 47.72003977270519, -122.2989753766811 47.72020358514664, -122.2989765976305 47.72037280153209, -122.298977959216 47.72053651507647, -122.2984071622295 47.72053289850496, -122.2984079350166 47.72061429124424)))"
